sector,y,x,corr,hedge_ratio,coint_p_train,adf_p_train,half_life,coint_p_test,n_obs,coint_p_bonferroni_ok,rank_score
interactive_media_and_services,GOOGL,GOOG,0.9952349735903057,0.9943213878469317,0.0006593972795341452,5.6345343565500997e-05,8.084226604036987,0.1810527383180469,878,False,3.0
semiconductors,ADI,NVDA,0.6053469773601604,0.1788210989130383,0.005098085274326651,0.0009677854311633483,16.17312420623627,0.7852920666162234,878,False,12.0
tobacco,MO,PM,0.5499310144867875,0.8417998631247147,0.002740250509162384,0.00048346700823576137,21.905617424772892,0.8464424919960356,878,False,15.0
rail_transportation,CSX,UNP,0.7276751926058956,0.7394124219627974,0.0046098104589968126,0.000865958009362463,20.847217867128535,0.47309611686106645,878,False,16.0
health_care_equipment,BDX,ABT,0.5073519878802364,-0.04936831337951197,0.006266805068697201,0.0012197592607301867,19.07171533759448,0.44587653173534647,878,False,16.0
transaction_and_payment_processing_services,MA,V,0.8779195716646528,1.0834792371558997,0.00896402421098699,0.001821267965046067,21.96341997951921,0.8263620154344709,878,False,29.0
semiconductors,ADI,AVGO,0.600197407601569,0.27605476561709125,0.01250233145967622,0.0026745730177027646,20.454939234606083,0.8305077164294621,878,False,31.0
oil_and_gas_exploration_and_production,EXE,EQT,0.7555453382861579,0.6859031694920724,0.01570344171050848,0.0034021669155148305,22.001527880871866,0.8937459927972448,878,False,41.0
construction_materials,VMC,CRH,0.6738717717231986,0.5291989035301896,0.004344615567982805,0.0008046911409071414,26.176250029164077,0.27498683049954353,878,False,42.0
semiconductors,NXPI,AMD,0.662226049912418,0.5239453416967589,0.015487455038636053,0.0034112003033207714,23.03244694578434,0.08803087346268174,878,False,45.0
semiconductors,NXPI,MU,0.6176532223592508,0.597962902116734,0.01575985382547098,0.0034820935115443983,22.05625403432981,0.14348522519277895,878,False,45.0
life_sciences_tools_and_services,TMO,IQV,0.6862283087028189,0.5154304359405373,0.010885710336083694,0.002277390695385383,24.25009853740107,0.09211766078437189,878,False,46.0
multi-utilities,CNP,SRE,0.716902941309499,0.6106307735112548,0.01658753902471799,0.003641316202167133,21.354919016770506,0.231481735908953,878,False,50.0
life_sciences_tools_and_services,TMO,MTD,0.6871307433218727,0.45623665624868487,0.0158061105843511,0.003490782238566175,24.28529246606518,0.20326241350025476,878,False,57.0
health_care_facilities,HCA,UHS,0.719669640278946,0.8339129084310427,0.007751992083876508,0.0015224892704589596,27.264977309169,0.7908212050480485,878,False,59.0
asset_management_and_custody_banks,AMP,APO,0.6700129547661634,0.6458922539136479,0.017177067691339008,0.0038303663148165344,23.05444038953001,0.030977399906461388,878,False,61.0
financial_exchanges_and_data,SPGI,ICE,0.59074100854721,0.8184441872839305,0.01808439790630228,0.004079853699606706,22.627357367507816,0.3467778537121171,878,False,62.0
telecom_tower_reits,CCI,SBAC,0.826110601453483,1.0769355715287834,0.017916512317109664,0.004020221347941694,24.219546982783907,0.1865340400950976,878,False,67.0
asset_management_and_custody_banks,BX,BNY,0.5130035668594337,0.9919417882626673,0.01615340873086346,0.0035800621011216564,26.151654176266238,0.5816201402141464,878,False,70.0
transaction_and_payment_processing_services,V,FISV,0.6316430434178044,0.5819624846749,0.019123792294651082,0.004351260326528658,23.190904421026755,0.06726038361575112,878,False,70.0
broadcasting,FOXA,FOX,0.9885243392492561,0.9936507691758001,0.023367433350229123,0.005480787023885146,18.677002198325514,0.008335599764506391,878,False,71.0
application_software,CDNS,PTC,0.5604775104240952,1.2366607549163662,0.009468598954487942,0.0019380825006405154,29.801398713106114,0.754297256621465,878,False,73.0
transaction_and_payment_processing_services,MA,FISV,0.6592831518077843,0.651541122312823,0.01986560278704271,0.004548516580993545,22.74334563454604,0.16693311221143392,878,False,74.0
semiconductors,ON,SWKS,0.7050858732673179,-0.6005166824391137,0.019755255210884937,0.0045165370881905306,23.710738587473834,0.9637011913865119,878,False,75.0
industrial_machinery_and_supplies_and_components,NDSN,FTV,0.6349900410031143,0.6259187612145996,0.023579131750256405,0.005556521682729537,21.23894151822007,0.8867189347680746,878,False,80.0
property_and_casualty_insurance,CB,ALL,0.5509384337794172,0.7588800114239427,0.010039839967443136,0.0019591741343941128,33.55162258629039,0.5263942908213416,878,False,83.0
life_sciences_tools_and_services,IQV,DHR,0.6670177489243753,0.8379785556860275,0.021259055996501602,0.004927074180644592,23.7812288912519,0.31344268626736826,878,False,84.0
aerospace_and_defense,TXT,GE,0.5359868203320578,0.22491393813673968,0.023785835590947373,0.005611141404561416,21.94118978141789,0.08158384525778206,878,False,86.0
homebuilding,LEN,DHI,0.9289926369517679,0.9278448388813801,0.02595122177349567,0.006205089651098561,20.26041954616108,0.876726877622313,878,False,86.0
application_software,SNPS,PTC,0.564183813130072,1.149672497014919,0.015879990439724143,0.003500703353832207,30.093601427613663,0.20870957780186472,878,False,90.0
multi-utilities,AEE,XEL,0.7861048331107529,0.8108923758880178,0.01625557122083344,0.0036113401958020406,29.528513653124378,0.5847479533494705,878,False,91.0
application_software,INTU,CRM,0.6254055772670954,0.7346533081048872,0.02309261836578755,0.005411871162793309,24.434346837473186,0.8450157415832353,878,False,92.0
packaged_foods_and_meats,KHC,GIS,0.6056439061088902,0.3005233604541092,0.018815293652203392,0.004270296595989464,27.83129637107467,0.14353929683711325,878,False,95.0
multi-utilities,DTE,CMS,0.877091457586355,0.934444747561531,0.03569624002604417,0.009015194353832263,19.681629934378577,0.12049942527415947,878,False,101.0
oil_and_gas_storage_and_transportation,OKE,TRGP,0.831506479408631,0.5576112565237122,0.023615698595762825,0.005555683107416113,25.84373892442896,0.34135626291831217,878,False,103.0
asset_management_and_custody_banks,IVZ,NTRS,0.6353329261628687,0.8576008046431648,0.022591956020731892,0.005279056641844426,26.552764764115633,0.6719149096739456,878,False,104.0
construction_and_engineering,PWR,FIX,0.5934899475930262,0.6265896581683704,0.02593368673841324,0.006175695813102354,24.695312396349053,0.3135794370968243,878,False,107.0
property_and_casualty_insurance,CB,HIG,0.7741680130673086,0.7486549672362869,0.019900763038806855,0.00454714416213913,29.24639513622508,0.9501252992936412,878,False,108.0
semiconductors,MPWR,NXPI,0.7496119359630325,1.4024382288503865,0.019288353071232216,0.004375896650451066,31.217018267937412,0.5363964742350888,878,False,111.0
specialty_chemicals,SHW,ECL,0.5609093160506797,0.8687204153364035,0.028589783914288874,0.006925207925204707,24.47932347803274,0.10387511897157609,878,False,113.0
life_sciences_tools_and_services,TMO,CRL,0.5717827680547406,0.11997068425975946,0.024044244331916157,0.005669051277708109,26.540560339819347,0.6315746314100317,878,False,115.0
"hotels,_resorts_and_cruise_lines",NCLH,EXPE,0.5674554007028941,0.7974896690987289,0.026090735601369812,0.006235347756912103,26.1607820599716,0.3941816992656232,878,False,117.0
industrial_machinery_and_supplies_and_components,NDSN,XYL,0.608658410331567,0.34479978931384336,0.03325011711792091,0.008290890687485631,24.57847672873639,0.965139099529036,878,False,119.0
oil_and_gas_refining_and_marketing,MPC,PSX,0.8192159438255097,1.4048361725509888,0.02007856841332585,0.0045703941037908554,34.409486513677734,0.6308694956623521,878,False,124.0
asset_management_and_custody_banks,ARES,APO,0.7515366683668894,0.9576968516566103,0.02808891392738058,0.006794971801947427,26.714176890581097,0.43941636738153655,878,False,126.0
electric_utilities,PPL,ETR,0.7133339650093331,0.6757049395012471,0.03974025290793072,0.010239281263923039,25.055018569912463,0.07118233519401725,878,False,136.0
life_sciences_tools_and_services,TMO,TECH,0.6395478968262056,0.16836683006529923,0.030785241321809383,0.007564427570297239,27.88715650052445,0.5036608053475461,878,False,137.0
industrial_machinery_and_supplies_and_components,HUBB,GWW,0.5462817482043918,0.9673287024801422,0.03887178122331121,0.009962374602332316,26.10628436986103,0.6205759822737179,878,False,137.0
packaged_foods_and_meats,KHC,HSY,0.5129227619395026,0.2685174614549813,0.03710830651403345,0.00943617813945581,26.992410882771804,0.025975840818485425,878,False,142.0
diversified_banks,BAC,PNC,0.7959428092448324,0.9372139627222803,0.04003736456935423,0.010316934415615603,26.193087978481987,0.5126732264988566,878,False,145.0
asset_management_and_custody_banks,IVZ,TROW,0.7456085182689546,0.6691853108646828,0.038589409535859216,0.009874224696910523,26.72015242998583,0.5598528781323399,878,False,145.0
industrial_machinery_and_supplies_and_components,HUBB,SNA,0.5215983380571174,1.7975803244852009,0.042284014119823105,0.011011555749357214,25.42692414421603,0.31590958727441615,878,False,147.0
systems_software,FTNT,NOW,0.5192728006294244,0.39685070321400573,0.040810314829612775,0.010572219212591818,26.390063377032572,0.9743274411955767,878,False,150.0
"technology_hardware,_storage_and_peripherals",WDC,STX,0.6884830510526357,0.979453746000619,0.03328663261265464,0.008283728163976937,32.10630952642226,0.376675581318722,878,False,152.0
financial_exchanges_and_data,FDS,MCO,0.5704141216628339,0.20745008854605,0.034409935978115175,0.008618547461356497,34.791279823980254,0.8355377408881335,878,False,159.0
life_sciences_tools_and_services,IQV,CRL,0.7284330383257848,0.2956385822764925,0.0433182003409654,0.011324997046647021,26.63238810034621,0.6989066304570422,878,False,161.0
semiconductors,QCOM,MU,0.6222395828067707,0.6410668165552341,0.04296143236755961,0.011211817006664765,27.54877803657511,0.3672195108421439,878,False,164.0
packaged_foods_and_meats,KHC,CAG,0.6169884153905397,0.49090331384106556,0.04126721458338862,0.010720838905609275,29.258049254939717,0.1159186019836605,878,False,166.0
